Common Name,Genus ,Species,Family,Nevada Noxious Weed?,Notes
Russian thistle,Salsola,tragus,Amaranthaceae,N,a Nevada Nuisance Weed
poison hemlock,Conium,maculatum,Apiaceae,Y,
musk thistle,Carduus,nutans,Asteraceae,Y,
yellow starthistle,Centaurea,solstitialis,Asteraceae,Y,
diffuse knapweed,Centaurea,diffusa,Asteraceae,Y,
chicory,Cichorium,intybus,Asteraceae,N,a Nevada Nuisance Weed
bull thistle,Cirsium,vulgare,Asteraceae,N,a Nevada Nuisance Weed
Canada thistle,Cirsium,arvense,Asteraceae,Y,
Scotch thistle,Onopordum,acanthium,Asteraceae,Y,
blue mustard,Chorispora,tenalla,Brassicaceae,Y,
perennial pepperweeed,Lepidium,latifolium,Brassicaceae,Y,tall whitetop
hoary cress,Lepidium,draba,Brassicaceae,Y,"formerly, Cardaria draba"
Russian olive,Elaeagnus,angustifolia,Elaeagnaceae,Y,
jointed goatgrass,Aegilops,cylindrica,Poaceae,Y,
cheatgrass,Bromus,tectorum,Poaceae,N,downy brome
bulbous bluegrass,Poa,bulbosa,Poaceae,N,
medusahead,Taeniatherum ,caput-medusae,Poaceae,Y,
bur buttercup,Ceratocephala,testiculata,Ranunculaceae,N,a Nevada Nuisance Weed
common mullein,Verbascum,thaspis,Scrophulariaceae,N,a Nevada Nuisance Weed
tree-of-heaven,Ailanthus,altissima,Simaroubaceae,N,
tamarisk; saltcedar,Tamarix,spp,Tamaricaceae,Y,
Siberian elm,Ulmus,pumila,Ulmacaeae,N,
puncturevine,Tribulus,terrestris,Zygophyllaceae,Y,
